Label,IQGAP1,FOXO1,CDC42EP4,BE501966,AF130091,CRISPLD2,HOXD11,C15orf59,GLCE,HCFC1,SBDSP1,PLP2,CRISPLD2,INSM1,XYLB,AI559696,DPH2,BE501966,1559295_at,RHPN1,GNL1,AK022015,HCFC1,WBP4,RPRML,MDM1,SIN3A,EPHA10,NLRP12,BM728509,DDX19A,HPN,AIFM2,DNAJB5,TMEM246,CPNE7,SECTM1,CALD1,NSDHL,PRKACA,KIAA1549,CDC42EP4,ADAM2,240215_at,ANXA10,MYH9,NEDD1,DLX2,NR3C1,SLC43A1,LONRF1,1565558_at,CAPZB,RHOQ,IL6R,ZBTB20,IRAK3,TMEM35B,EFS,KCNAB1,RNF144A-AS1,POLR1B,BICD2,ANOS1,MEF2A,DCAKD,RAP1GAP,HOXC4,TMEM43,ZNF70,CCDC14,PDE4D,PARVA,MOB1A,SAMD8,RAP1A,SPRN,DEK,ARHGAP1,NOA1,SLMAP,DLX1,POLR3GL,NUDC,PARM1,BF196924,AW960100,OPA1,NKIRAS1,PENK,SNHG19,AI033097,SIX4,WRB,KCNN1,AI939586,LINC01296,GPR1,AF147403,UGT2B4,EPCAM,PLCL1,PA2G4,MAMDC2,LOC441204,AI652919,LGALS3,LINC00665,SLIT1,AKIP1
1,1558.504333,241.1317667,566.8512333,1338.24,138.731,597.3824,24.0539,27.89175,315.587,510.2360933,1188.6955,469.951,597.3824,54.709,25.790495,622.876,169.038,1338.24,11.5946,75.8551,119.206158,169.506,510.2360933,183.8673333,53.7662,89.4757,330.676875,12.96899,59.9008,16.3693,90.4311275,1517.67,64.6977,46.88765,41.2201,55.4812,60.299,1204.6758,275.9975,158.19779,213.179775,566.8512333,39.2706,15.5383,14.9347,654.756,165.3843667,95.033505,263.47962,683.119,200.1231333,85.5642,946.2386625,562.997185,54.33812667,635.4664417,59.06583333,257.599,294.367,71.740664,8.01175,170.6165,139.43805,127.45555,211.536975,51.07996667,96.633,514.015,161.242925,39.98125,405.01641,196.4209833,288.4128571,173.309325,380.77385,93.148725,35.7429,1697.54,388.924025,403.135,296.686475,246.981,212.969,914.8598733,748.5065,14.903,45.968,243.836,118.613,13.767155,2666.58,149.505,199.7761,709.689,12.3493,16.9964,340.597,5.55514,31.52115,17.3437,2290.51,51.58875,487.856,91.3757,34.620375,14.9784,893.0854,169.203415,196.08545,185.7422
1,1534.7763,155.7378667,270.2708667,567.78,119.411,708.56415,16.4721,23.74445,303.615,428.24581,1043.1475,453.668,708.56415,161.3892,40.4055725,502.784,227.069,567.78,10.7591,156.648,107.451146,87.0902,428.24581,166.3986667,40.5325,70.2161,294.560725,33.05308667,85.29855,10.8892,134.192135,2574.37,59.4888,34.6703,18.7762,81.3481,51.0424,556.4830364,196.997,139.00575,185.03455,270.2708667,15.8968,14.3408,11.2211,536.955,165.9831667,285.88645,181.26902,542.173,179.5758333,112.756,980.96813,715.0226617,28.30500667,478.7662833,39.87653333,184.276,174.0525,38.895274,56.09946667,202.630325,116.347085,117.13575,183.092125,37.87926667,142.70435,388.517,171.468925,35.72905,511.76506,109.5151533,245.389,181.154025,286.52735,55.439575,31.4392,1200.9,341.94365,888.098,223.3938,529.126,151.536,690.91534,510.455,15.2756,23.835,220.488475,129.368,17.03675,4939.38,161.278,226.39005,624.251,11.77,17.058,613.812,5.20476,20.2272,7.35971,2571.86,99.8555,754.156,71.1665,58.748025,18.0112,540.22515,209.3740375,135.0537,175.78135
1,1638.908367,180.6235333,524.0987667,697.127,168.458,1317.00105,23.4739,28.299,233.503,454.4879,1221.7475,437.388,1317.00105,832.436,26.2767775,575.202,293.56,697.127,12.2787,129.6995,137.345036,54.6636,454.4879,87.82463333,60.5815,53.27755,270.42565,19.49475667,48.3433,11.2181,95.6833025,1220.04,35.8584,32.85795,29.47955,77.2711,52.512,640.0324091,177.5498,110.4545,169.097525,524.0987667,43.6656,17.8493,61.84,516.408,179.4343333,314.07035,166.55522,304.805,257.9593333,24.6423,610.99869,645.3058333,68.77058333,643.7236417,25.03693,102.467,127.17165,45.983422,163.6822,226.668025,147.6267,122.2055,197.1126425,44.42056667,219.5675,439.572,136.74765,25.52815,473.8887067,73.98698333,177.5876143,209.646225,336.19305,65.78575,45.4928,2242.78,380.4432,407.171,182.63615,313.89505,180.134,614.9845033,606.8505,21.2255,8.66132,221.11525,172.756,34.2241,2079.96,147.709,100.33145,923.331,18.275,27.0266,307.473,9.01921,25.60235,8.14523,3022.52,62.1189,503.7705,79.6398,41.613,8.54254,506.37515,85.5655175,217.28935,162.1069
0,2238.532367,351.7631667,900.6762667,2627.66,237.233,1859.86445,63.1121,44.72335,318.353,616.7490767,1592.3015,1155.33,1859.86445,47.05965,20.11228,1098.31,154.56,2627.66,10.0765,49.0971,183.55609,240.604,616.7490767,313.2186667,34.4622,199.319,422.157225,8.858646667,41.80545,8.95155,171.625725,74.5212,148.09235,150.4098,155.131,33.3002,74.5635,2088.551473,351.6655,270.50325,115.109575,900.6762667,14.81,14.0574,9.52087,777.791,174.4868333,9.9534,486.46896,105.875,303.8898667,191.902,1422.5759,789.7857,52.97885667,1129.904033,142.6838333,210.045,698.7065,347.14796,9.063393333,124.4952,220.016125,148.807,336.089975,58.9895,37.5104,56.7318,288.91125,43.04785,341.623,434.1241333,804.713,286.2819,406.5581,293.58675,22.2157,2178.55,670.153225,363.137,751.27875,25.33025,310.209,1077.069977,1515.6065,15.7824,86.7353,404.878925,251.131,345.69225,1144.74,220.162,67.24885,800.185,11.5742,12.4291,298.707,5.67017,24.40615,4.98184,448.976,448.3895,431.181,381.772,29.556175,24.7631,1302.1571,75.6825825,17.23815,445.768
0,1909.696333,314.9721333,809.4905,1598.02,192.992,2277.49245,60.2231,47.0679,443.076,554.6409,1612.186,847.149,2277.49245,18.743635,17.0275375,1296.5,149.987,1598.02,10.7527,64.45305,271.083412,135.432,554.6409,223.3547667,30.441,135.5565,356.684425,12.31375667,46.45055,9.36851,118.062035,380.47,131.8426,110.6496,78.7313,48.8882,144.516,1371.490782,316.58,167.26628,133.617175,809.4905,12.462,13.142,10.534,1074.72,166.603,30.48635,308.37822,106.899,307.3605667,360.695,1325.962953,807.5685,89.3174,908.49875,93.2129,256.364,815.2155,164.179996,10.80245667,116.394375,178.18867,142.107,353.376025,59.92823333,79.967,39.1847,301.93,40.9119,428.15781,337.1557833,520.1088571,213.38685,362.45015,129.98036,26.2372,1559.85,475.308,300.957,480.343425,14.20309,204.456,1115.259093,924.2165,18.1697,73.8545,308.32745,179.531,357.97485,941.396,164.233,85.218845,531.042,9.85434,13.1473,625.29,6.41304,24.26805,4.28677,936.022,231.705,510.317,217.283,29.722875,27.0865,1592.2713,52.62141,13.58625,305.0225
0,2041.493,287.3783,721.8007333,2567.75,285.661,1818.9951,100.804,45.7594,578.357,585.2118633,1196.526,808.79,1818.9951,21.023305,18.6451025,662.222,153.774,2567.75,8.65255,60.40735,138.880908,197.306,585.2118633,270.1773333,33.7732,131.879,385.92185,11.50033667,25.632,9.61046,143.71558,380.629,119.49175,66.8461,153.2865,31.6374,127.523,1154.972945,493.4455,156.156095,135.339,721.8007333,8.8622,13.1913,5.81732,656.375,228.0876333,8.372155,439.59606,163.206,277.8037333,125.855,905.7367825,821.8695517,79.4719,1278.507492,79.58936667,219.666,749.576,152.912358,6.835393333,126.3969,160.687275,185.8702,265.40755,77.8782,85.15155,32.698,197.4344,58.68165,386.8206367,294.3682,421.6024286,281.2065,408.06955,150.054925,19.5744,2277.27,579.4586125,506.427,353.3637,10.77259,268.709,921.71939,879.7375,14.3533,84.5989,309.37887,212.95,76.14437,1116.16,189.896,93.8221,845.957,10.7485,11.446,1944.38,3.91869,22.18385,4.3116,1767.94,117.1805,422.308,223.566,30.628975,35.2366,995.060145,61.5750925,29.55105,292.02575
0,1905.996333,345.2427667,759.9460333,1655.99,260.974,1732.16945,60.6769,48.36195,459.447,754.4671667,1409.975,1022.32,1732.16945,37.193,20.6248525,697.405,124.847,1655.99,9.82971,64.4504,190.463942,161.696,754.4671667,230.118,46.7306,106.4709,376.623475,11.87085333,33.75035,9.18911,155.3203875,624.245,106.69495,58.8858,168.6205,34.1443,53.6474,1211.802918,383.0165,174.456,164.1225,759.9460333,7.58015,13.3757,7.35371,647.152,225.8552667,21.56549,454.068,183.213,272.4070333,158.673,1395.506323,824.04742,138.0483633,983.7452833,62.23733333,321.328,605.084,65.606584,9.27179,113.53845,123.278275,422.7805,183.881275,56.43166667,87.865,34.5426,238.2983,41.24655,272.7055133,259.10415,289.7814286,268.0925,452.59325,85.62605,23.3692,2049.52,382.33935,386.852,308.993625,12.179045,254.042,1025.13339,1488.519,16.3831,13.6739,263.100875,193.362,47.537585,850.575,233.77,72.03895,880.538,12.9618,17.7795,1404.77,5.5934,18.06935,4.45926,1630.72,103.83395,377.3055,132.161,29.418125,21.986,1986.764435,39.206385,22.8075,221.1087
0,1833.016667,273.0443667,775.2257333,1505.04,239.719,1954.15755,90.0155,36.06625,391.831,668.73345,1562.29,953.842,1954.15755,38.13285,18.7386175,816.691,115.018,1505.04,9.68963,59.06765,216.706378,140.091,668.73345,253.507,26.5873,103.06885,389.7995,10.76619667,30.331,9.155,165.207945,368.684,101.397,93.7528,130.5365,35.8431,89.5664,1407.276282,477.366,156.5873,120.25575,775.2257333,10.034,11.7403,9.08551,745.647,210.7756333,44.508375,345.29994,239.428,307.2467667,155.892,1292.34063,822.4938667,150.5653333,1170.0474,40.40076667,267.51,478.084,97.23286,7.24466,97.944925,116.904925,130.4996,223.707875,48.01316667,75.39065,33.8654,248.455325,37.8425,315.0570133,264.2777,388.2208571,247.404475,417.5907,113.53805,23.9453,1885.11,502.2809975,346.863,372.48005,14.9309,271.389,1090.511823,1455.6615,20.7848,57.6853,244.3484,173.959,85.17952,884.917,164.233,73.4695,796.585,11.1651,15.7592,2494.21,4.91736,54.83115,4.25525,1386.53,140.1542,418.5875,133.314,31.20315,17.9788,1442.2703,46.752375,12.0519,199.9452
0,2016.877667,300.6459667,845.1036667,1859.56,260.409,1590.6131,38.6928,36.4693,409.607,607.3550633,1494.6545,943.083,1590.6131,29.2382,20.2548,694.387,99.8374,1859.56,8.54385,54.72175,164.881564,143.86,607.3550633,257.3336667,28.3115,117.146,368.274575,11.04971,45.70315,9.1024,155.1781225,362.28,115.00395,61.84125,134.4915,37.8621,103.762,1378.388291,402.115,161.5429,128.01905,845.1036667,19.1047,10.5077,9.13839,701.085,218.9725,39.56243,313.82628,247.031,259.5336,158.788,1175.129545,799.23085,100.8154267,1198.979375,62.32006667,282.398,602.983,112.060938,8.40423,113.1542,151.730185,194.33485,232.8425,59.42626667,75.0408,34.5684,238.603825,39.01255,394.0503067,232.1924833,329.4117143,261.078575,391.02775,116.14064,24.4778,1949.91,468.846275,362.568,353.456425,12.11726,299.216,890.71123,1210.803,17.0872,46.235,280.93845,179.531,53.986635,736.19,202.449,80.910505,866.828,11.251,11.4208,1973.5,5.77364,32.84495,3.4801,1478.77,88.7655,367.4675,200.65,25.394575,19.7833,1817.56985,57.3262775,19.6597,242.3818
0,2086.620667,303.4960667,853.5869667,1801.85,192.436,1622.1211,77.3754,38.4605,409.07,584.21793,1419.841,848.936,1622.1211,25.86755,21.69489,657.518,117.364,1801.85,10.1625,52.9559,162.531132,151.679,584.21793,229.7326667,30.9091,119.2265,375.7528,11.55001667,45.3734,14.6678,159.47193,312.037,99.87295,59.452,142.1295,29.9169,49.3772,1236.226527,225.3885,184.36145,121.481575,853.5869667,9.33358,13.4494,9.39427,775.814,235.3233667,11.25215,495.09746,167.025,245.8293333,120.464,1154.283095,732.9429567,90.46200333,1142.174683,112.9576667,386.812,374.931,112.57232,7.125783333,125.6446,207.1072475,204.5245,280.1393,48.46443333,73.30235,24.3949,314.3664,44.187,382.3248033,270.3163167,316.7417143,342.43575,454.5373,113.90055,24.9325,2153.1,487.567175,373.911,343.997325,11.00235,293.461,836.7912133,894.205,16.1735,84.5386,270.7005,195.518,75.45852,1090.88,182.511,88.19635,763.442,11.9911,11.8897,420.304,4.90069,11.812025,4.08766,1727.56,109.72865,425.552,206.385,30.66725,20.2241,2177.92925,59.266015,15.9266,271.28095
